"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 15 20:33:59 IST 2024","Tue Oct 15 20:34:53 IST 2024","53850","tests.q2g","jeeves_singleturn_test","","","","test_single_turn_case[SINGLE_MODULE_WITH_RANK_ORDER-What are the Top 20 Assets Created By-90-expected_json89-SELECT COUNT(*),Created By FROM Assets GROUP BY Created By ORDER BY COUNT(*) DESC LIMIT 20]",""
"failed","Tue Oct 15 20:41:34 IST 2024","Tue Oct 15 20:41:50 IST 2024","16129","tests.q2g","jeeves_singleturn_test","","","","Test Case 251 - SINGLE_MODULE_WITH_MULTIPLE_DATA_FILTERS",""
"failed","Tue Oct 15 20:39:05 IST 2024","Tue Oct 15 20:40:00 IST 2024","55664","tests.q2g","jeeves_singleturn_test","","","","test_single_turn_case[SINGLE_MODULE_WITH_RANK_ORDER-What are the Bottom 25 Tickets Agent Name-127-expected_json126-SELECT COUNT(*),Agent Name FROM Tickets GROUP BY Agent Name ORDER BY COUNT(*) ASC LIMIT 25]",""
"failed","Tue Oct 15 20:53:04 IST 2024","Tue Oct 15 20:53:59 IST 2024","54627","tests.q2g","jeeves_singleturn_test","","","","test_single_turn_case[SINGLE_MODULE_WITH_DATA_FILTER-Show me count of Tickets with Type is Service Request-381-expected_json380-SELECT COUNT(*) FROM Tickets WHERE Type = Service Request]",""
"failed","Tue Oct 15 20:38:05 IST 2024","Tue Oct 15 20:38:12 IST 2024","7696","tests.q2g","jeeves_singleturn_test","","","","Test Case 106 - SINGLE_MODULE_WITH_RANK_ORDER",""
"failed","Tue Oct 15 20:51:30 IST 2024","Tue Oct 15 20:51:44 IST 2024","13547","tests.q2g","jeeves_singleturn_test","","","","Test Case 336 - SINGLE_MODULE_WITH_DATA_FILTER",""
"failed","Tue Oct 15 20:36:30 IST 2024","Tue Oct 15 20:37:24 IST 2024","54275","tests.q2g","jeeves_singleturn_test","","","","test_single_turn_case[SINGLE_MODULE_WITH_RANK_ORDER-What are the Bottom 15 Tickets Assigned Date-121-expected_json120-SELECT COUNT(*),Assigned Date FROM Tickets GROUP BY Assigned Date ORDER BY COUNT(*) ASC LIMIT 15]",""
"failed","Tue Oct 15 20:35:15 IST 2024","Tue Oct 15 20:35:27 IST 2024","11658","tests.q2g","jeeves_singleturn_test","","","","Test Case 28 - SINGLE_MODULE_WITH_METRIC",""
"failed","Tue Oct 15 21:01:43 IST 2024","Tue Oct 15 21:01:51 IST 2024","8114","tests.q2g","jeeves_singleturn_test","","","","Test Case 472 - AGGREGATE_FUNCTION_WITH_TIME",""
"passed","Tue Oct 15 20:50:06 IST 2024","Tue Oct 15 20:50:14 IST 2024","7535","tests.q2g","jeeves_singleturn_test","","","","Test Case 331 - SINGLE_MODULE_WITH_DATA_FILTER",""
"failed","Tue Oct 15 21:02:04 IST 2024","Tue Oct 15 21:02:14 IST 2024","9560","tests.q2g","jeeves_singleturn_test","","","","Test Case 494 - AGGREGATE_FUNCTION_WITH_TIME",""
"broken","Tue Oct 15 20:58:58 IST 2024","Tue Oct 15 20:59:07 IST 2024","8413","tests.q2g","jeeves_singleturn_test","","","","test_single_turn_case[AGGREGATE_FUNCTION_WITH_TIME-Give me the average Cost of Assets for next 1 weeks-445-expected_json444-SELECT AVG(Cost) FROM freshservice.Assets WHERE `Created Date` >= CURRENT_DATE AND `Created Date` < CURRENT_DATE + INTERVAL '1 week']",""
"failed","Tue Oct 15 20:46:10 IST 2024","Tue Oct 15 20:47:04 IST 2024","54742","tests.q2g","jeeves_singleturn_test","","","","test_single_turn_case[SINGLE_MODULE_WITH_DATA_FILTER-Display total Tickets for which Description is not Cory-264-expected_json263-SELECT COUNT(*) FROM Tickets WHERE Description <> Cory]",""
